response_id,session_id,prompt_name,prompt_hash,probability,raw_content,error,elapsed_sec,attempts
hdmvkpo,kmwkdgg,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.85,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 4, ""label"": ""exceptional objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""COC"": {""score"": 3, ""label"": ""strong performance consistency""},
    ""SMR"": {""score"": 3, ""label"": ""strong misconception resolution""},
    ""SEQ"": {""score"": 3, ""label"": ""strong explanation quality""},
    ""PC"": {""score"": 3, ""label"": ""strong procedural completeness""},
    ""SSA"": {""score"": 3, ""label"": ""strong strategy selection""},
    ""SEC"": {""score"": 2, ""label"": ""mixed error correction""},
    ""WCR"": {""score"": 3, ""label"": ""strong knowledge retention""},
    ""RP"": {""score"": 3, ""label"": ""strong representation precision""},
    ""JEU"": {""score"": 3, ""label"": ""strong evidence use""},
    ""BCU"": {""score"": 3, ""label"": ""strong boundary understanding""},
    ""GPA"": {""score"": 2, ""label"": ""mixed generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.85
  }
}",,19.04,1
cvtkndi,frofdvk,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.55,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 2, ""label"": ""mixed misconception resolution""},
    ""SEQ"": {""score"": 2, ""label"": ""mixed explanation quality""},
    ""PC"": {""score"": 2, ""label"": ""mixed procedural completeness""},
    ""SSA"": {""score"": 2, ""label"": ""mixed strategy selection""},
    ""SEC"": {""score"": 1, ""label"": ""weak error correction""},
    ""WCR"": {""score"": 2, ""label"": ""mixed knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 2, ""label"": ""mixed evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 2, ""label"": ""mixed generative production""},
    ""CC"": {""score"": 1, ""label"": ""weak confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.55
  }
}",,18.8,1
cdqxbmm,ccbnbjk,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.35,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 1, ""label"": ""weak reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""COC"": {""score"": 1, ""label"": ""weak performance consistency""},
    ""SMR"": {""score"": 1, ""label"": ""weak misconception resolution""},
    ""SEQ"": {""score"": 2, ""label"": ""mixed explanation quality""},
    ""PC"": {""score"": 1, ""label"": ""weak procedural completeness""},
    ""SSA"": {""score"": 1, ""label"": ""weak strategy selection""},
    ""SEC"": {""score"": 0, ""label"": ""minimal error correction""},
    ""WCR"": {""score"": 2, ""label"": ""mixed knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 1, ""label"": ""weak evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 1, ""label"": ""weak generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,16.15,1
fgjewwq,ksggvxp,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.65,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 2, ""label"": ""mixed misconception resolution""},
    ""SEQ"": {""score"": 3, ""label"": ""strong explanation quality""},
    ""PC"": {""score"": 2, ""label"": ""mixed procedural completeness""},
    ""SSA"": {""score"": 2, ""label"": ""mixed strategy selection""},
    ""SEC"": {""score"": 1, ""label"": ""weak error correction""},
    ""WCR"": {""score"": 3, ""label"": ""strong knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 2, ""label"": ""mixed evidence use""},
    ""BCU"": {""score"": 3, ""label"": ""strong boundary understanding""},
    ""GPA"": {""score"": 1, ""label"": ""weak generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,19.1,1
gbpowpb,jhqynmx,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.78,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 4, ""label"": ""exceptional objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""COC"": {""score"": 3, ""label"": ""strong performance consistency""},
    ""SMR"": {""score"": 3, ""label"": ""strong misconception resolution""},
    ""SEQ"": {""score"": 3, ""label"": ""strong explanation quality""},
    ""PC"": {""score"": 2, ""label"": ""mixed procedural completeness""},
    ""SSA"": {""score"": 3, ""label"": ""strong strategy selection""},
    ""SEC"": {""score"": 3, ""label"": ""strong error correction""},
    ""WCR"": {""score"": 3, ""label"": ""strong knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 3, ""label"": ""strong evidence use""},
    ""BCU"": {""score"": 3, ""label"": ""strong boundary understanding""},
    ""GPA"": {""score"": 2, ""label"": ""mixed generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.78
  }
}",,19.44,1
hbcmmrz,aprpukp,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.45,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 1, ""label"": ""weak objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 2, ""label"": ""mixed misconception resolution""},
    ""SEQ"": {""score"": 1, ""label"": ""weak explanation quality""},
    ""PC"": {""score"": 1, ""label"": ""weak procedural completeness""},
    ""SSA"": {""score"": 1, ""label"": ""weak strategy selection""},
    ""SEC"": {""score"": 2, ""label"": ""mixed error correction""},
    ""WCR"": {""score"": 2, ""label"": ""mixed knowledge retention""},
    ""RP"": {""score"": 1, ""label"": ""weak representation precision""},
    ""JEU"": {""score"": 1, ""label"": ""weak evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 1, ""label"": ""weak generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,16.53,1
atcpqts,mvdrgom,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.75,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 3, ""label"": ""strong reasoning validity""},
    ""LGC"": {""score"": 3, ""label"": ""strong objective coverage""},
    ""NTP"": {""score"": 2, ""label"": ""mixed transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 3, ""label"": ""strong misconception resolution""},
    ""SEQ"": {""score"": 3, ""label"": ""strong explanation quality""},
    ""PC"": {""score"": 3, ""label"": ""strong procedural completeness""},
    ""SSA"": {""score"": 2, ""label"": ""mixed strategy selection""},
    ""SEC"": {""score"": 3, ""label"": ""strong error correction""},
    ""WCR"": {""score"": 3, ""label"": ""strong knowledge retention""},
    ""RP"": {""score"": 3, ""label"": ""strong representation precision""},
    ""JEU"": {""score"": 2, ""label"": ""mixed evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 2, ""label"": ""mixed generative production""},
    ""CC"": {""score"": 3, ""label"": ""strong confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,19.46,1
gamtxfd,atvfdwy,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.75,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 1, ""label"": ""weak transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 3, ""label"": ""strong misconception resolution""},
    ""SEQ"": {""score"": 2, ""label"": ""mixed explanation quality""},
    ""PC"": {""score"": 2, ""label"": ""mixed procedural completeness""},
    ""SSA"": {""score"": 2, ""label"": ""mixed strategy selection""},
    ""SEC"": {""score"": 3, ""label"": ""strong error correction""},
    ""WCR"": {""score"": 2, ""label"": ""mixed knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 2, ""label"": ""mixed evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 2, ""label"": ""mixed generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,16.96,1
gslurxf,ejedyoy,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.45,"{
  ""dimensions"": {
    ""ES"": {""score"": 3, ""label"": ""strong final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 1, ""label"": ""weak objective coverage""},
    ""NTP"": {""score"": 0, ""label"": ""minimal transfer performance""},
    ""COC"": {""score"": 2, ""label"": ""mixed performance consistency""},
    ""SMR"": {""score"": 3, ""label"": ""strong misconception resolution""},
    ""SEQ"": {""score"": 2, ""label"": ""mixed explanation quality""},
    ""PC"": {""score"": 2, ""label"": ""mixed procedural completeness""},
    ""SSA"": {""score"": 1, ""label"": ""weak strategy selection""},
    ""SEC"": {""score"": 3, ""label"": ""strong error correction""},
    ""WCR"": {""score"": 2, ""label"": ""mixed knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 1, ""label"": ""weak evidence use""},
    ""BCU"": {""score"": 0, ""label"": ""minimal boundary understanding""},
    ""GPA"": {""score"": 1, ""label"": ""weak generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,19.27,1
afylzjc,mrnbnbv,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.45,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 1, ""label"": ""weak reasoning validity""},
    ""LGC"": {""score"": 2, ""label"": ""mixed objective coverage""},
    ""NTP"": {""score"": 0, ""label"": ""minimal transfer performance""},
    ""COC"": {""score"": 1, ""label"": ""weak performance consistency""},
    ""SMR"": {""score"": 2, ""label"": ""mixed misconception resolution""},
    ""SEQ"": {""score"": 1, ""label"": ""weak explanation quality""},
    ""PC"": {""score"": 1, ""label"": ""weak procedural completeness""},
    ""SSA"": {""score"": 1, ""label"": ""weak strategy selection""},
    ""SEC"": {""score"": 2, ""label"": ""mixed error correction""},
    ""WCR"": {""score"": 0, ""label"": ""minimal knowledge retention""},
    ""RP"": {""score"": 1, ""label"": ""weak representation precision""},
    ""JEU"": {""score"": 0, ""label"": ""minimal evidence use""},
    ""BCU"": {""score"": 1, ""label"": ""weak boundary understanding""},
    ""GPA"": {""score"": 0, ""label"": ""minimal generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,17.41,1
emptmah,fownkzg,A16,56c1830743702099166e7d1d6063146e668e93057dc40632774ea1a9540c9f23,0.35,"{
  ""dimensions"": {
    ""ES"": {""score"": 2, ""label"": ""mixed final accuracy""},
    ""IRV"": {""score"": 2, ""label"": ""mixed reasoning validity""},
    ""LGC"": {""score"": 1, ""label"": ""weak objective coverage""},
    ""NTP"": {""score"": 0, ""label"": ""minimal transfer performance""},
    ""COC"": {""score"": 1, ""label"": ""weak performance consistency""},
    ""SMR"": {""score"": 2, ""label"": ""mixed misconception resolution""},
    ""SEQ"": {""score"": 2, ""label"": ""mixed explanation quality""},
    ""PC"": {""score"": 1, ""label"": ""weak procedural completeness""},
    ""SSA"": {""score"": 1, ""label"": ""weak strategy selection""},
    ""SEC"": {""score"": 0, ""label"": ""minimal error correction""},
    ""WCR"": {""score"": 1, ""label"": ""weak knowledge retention""},
    ""RP"": {""score"": 2, ""label"": ""mixed representation precision""},
    ""JEU"": {""score"": 1, ""label"": ""weak evidence use""},
    ""BCU"": {""score"": 0, ""label"": ""minimal boundary understanding""},
    ""GPA"": {""score"": 1, ""label"": ""weak generative production""},
    ""CC"": {""score"": 2, ""label"": ""mixed confidence calibration""}
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,17.16,1
