response_id,session_id,prompt_name,prompt_hash,probability,raw_content,error,elapsed_sec,attempts
hdmvkpo,kmwkdgg,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.75,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 3, ""label"": ""strong question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 4, ""label"": ""exceptional response opportunity""},
    ""PCI"": {""score"": 3, ""label"": ""strong prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 3, ""label"": ""strong opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,18.75,1
cvtkndi,frofdvk,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 1, ""label"": ""weak support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 3, ""label"": ""strong prompt clarity""},
    ""SRR"": {""score"": 2, ""label"": ""mixed speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 1, ""label"": ""weak example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,18.61,1
cdqxbmm,ccbnbjk,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.35,"{
  ""dimensions"": {
    ""SLD"": {""score"": 1, ""label"": ""weak support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 2, ""label"": ""mixed objective alignment""},
    ""IEO"": {""score"": 1, ""label"": ""weak evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 0, ""label"": ""minimal independent verification""},
    ""ER"": {""score"": 1, ""label"": ""weak evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 1, ""label"": ""weak cue resistance""},
    ""RCO"": {""score"": 2, ""label"": ""mixed response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 2, ""label"": ""mixed speaker reliability""},
    ""RO"": {""score"": 1, ""label"": ""weak response observability""},
    ""IER"": {""score"": 1, ""label"": ""weak example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,16.07,1
fgjewwq,ksggvxp,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.75,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 3, ""label"": ""strong evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 4, ""label"": ""exceptional evidence recency""},
    ""QD"": {""score"": 3, ""label"": ""strong question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 3, ""label"": ""strong prompt clarity""},
    ""SRR"": {""score"": 3, ""label"": ""strong speaker reliability""},
    ""RO"": {""score"": 4, ""label"": ""exceptional response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 3, ""label"": ""strong opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.75
  }
}",,18.74,1
gbpowpb,jhqynmx,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 3, ""label"": ""strong evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 3, ""label"": ""strong opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,19.25,1
hbcmmrz,aprpukp,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.45,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 1, ""label"": ""weak objective alignment""},
    ""IEO"": {""score"": 1, ""label"": ""weak evidence opportunities""},
    ""ED"": {""score"": 1, ""label"": ""weak evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 0, ""label"": ""minimal independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 1, ""label"": ""weak question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 2, ""label"": ""mixed response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 1, ""label"": ""weak response observability""},
    ""IER"": {""score"": 3, ""label"": ""strong example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.45
  }
}",,16.8,1
atcpqts,mvdrgom,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 1, ""label"": ""weak support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 3, ""label"": ""strong evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 4, ""label"": ""exceptional evidence recency""},
    ""QD"": {""score"": 3, ""label"": ""strong question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 2, ""label"": ""mixed speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 1, ""label"": ""weak example independence""},
    ""OCB"": {""score"": 3, ""label"": ""strong opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,19.39,1
gamtxfd,atvfdwy,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 2, ""label"": ""mixed response opportunity""},
    ""PCI"": {""score"": 3, ""label"": ""strong prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 1, ""label"": ""weak response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,17.06,1
gslurxf,ejedyoy,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 1, ""label"": ""weak evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,19.34,1
afylzjc,mrnbnbv,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.65,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 1, ""label"": ""weak answer independence""},
    ""LOA"": {""score"": 3, ""label"": ""strong objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 2, ""label"": ""mixed evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 3, ""label"": ""strong prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 2, ""label"": ""mixed opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.65
  }
}",,17.4,1
emptmah,fownkzg,B16,88db8918a5e987a01d3a340f879d3591896128d80c6cf4a1f0b83929ce1b7920,0.35,"{
  ""dimensions"": {
    ""SLD"": {""score"": 2, ""label"": ""mixed support independence""},
    ""TAC"": {""score"": 2, ""label"": ""mixed answer independence""},
    ""LOA"": {""score"": 1, ""label"": ""weak objective alignment""},
    ""IEO"": {""score"": 2, ""label"": ""mixed evidence opportunities""},
    ""ED"": {""score"": 1, ""label"": ""weak evidence diversity""},
    ""ECL"": {""score"": 2, ""label"": ""mixed challenge quality""},
    ""PIV"": {""score"": 1, ""label"": ""weak independent verification""},
    ""ER"": {""score"": 3, ""label"": ""strong evidence recency""},
    ""QD"": {""score"": 2, ""label"": ""mixed question diagnosticity""},
    ""GCR"": {""score"": 2, ""label"": ""mixed cue resistance""},
    ""RCO"": {""score"": 3, ""label"": ""strong response opportunity""},
    ""PCI"": {""score"": 2, ""label"": ""mixed prompt clarity""},
    ""SRR"": {""score"": 1, ""label"": ""weak speaker reliability""},
    ""RO"": {""score"": 2, ""label"": ""mixed response observability""},
    ""IER"": {""score"": 2, ""label"": ""mixed example independence""},
    ""OCB"": {""score"": 0, ""label"": ""minimal opportunity balance""}
  },
  ""achievement"": {
    ""probability"": 0.35
  }
}",,17.28,1
